Year,Value
Jan 2004-Dec 2004,6.2
Jan 2005-Dec 2005,6.0
Jan 2006-Dec 2006,4.4
Jan 2007-Dec 2007,4.2
Jan 2008-Dec 2008,4.9
Jan 2009-Dec 2009,4.4
Jan 2010-Dec 2010,5.7
Jan 2011-Dec 2011,2.6
Jan 2012-Dec 2012,4.6
Jan 2013-Dec 2013,5.4
Jan 2014-Dec 2014,5.6
Jan 2015-Dec 2015,5.5
Jan 2016-Dec 2016,5.6
Jan 2017-Dec 2017,7.6
Jan 2018-Dec 2018,7.7
Jan 2019-Dec 2019,6.0
Jan 2020-Dec 2020,10.3
