Year,Value
2000,99.96678109
2001,99.96677778
2002,99.96677942
2003,99.96677942
2004,99.96861274
2005,99.97044444
2006,99.97228099
2007,99.97411111
2008,99.97594602
2009,99.97777933
2010,99.97960957
2011,99.98144291
2012,99.98327626
2013,99.9851096
2014,99.98694144
2015,99.98877628
2016,99.98877778
2017,99.98877925
