Year,Value
2003,9.9
2004,11.4
2005,11.6
2006,11.8
2007,8.8
2008,7.3
2009,5.9
2010,7.3
2011,8.8
2012,10.6
2013,10.9
2014,10.2
2015,9.3
2016,9.9
2017,9.5
2018,9.9
