Year,Value
2001,9.2364
2002,7.6657
2003,5.3859
2004,9.2171
2005,12.0435
2006,13.9082
2007,11.1674
2008,10.1789
2009,11.3587
2010,10.6891
2011,10.8069
2012,9.3064
2013,8.8243
2014,8.2678
2015,7.6921
2016,7.7396
2017,6.9201
2018,7.6798
