Year,Value
2004,7.9
2005,9.2
2006,8.9
2007,8.5
2008,8.3
2009,12.1
2010,11.9
2011,11.2
2012,11.5
2013,12.0
2014,11.9
2015,7.3
2016,6.6
2017,5.9
2018,4.0
2019,4.8
2020,3.7
