Year,Value
2004,6.2
2005,6.0
2006,4.4
2007,4.2
2008,4.9
2009,4.4
2010,5.7
2011,2.6
2012,4.6
2013,5.4
2014,5.6
2015,5.5
2016,5.6
2017,7.6
2018,7.7
2019,6.0
2020,10.3
