Year,Value
2009 Q1,11.2
2009 Q2,11.0
2009 Q3,11.4
2009 Q4,10.8
2010 Q1,11.3
2010 Q2,11.2
2010 Q3,11.0
2010 Q4,11.2
2011 Q1,11.1
2011 Q2,11.5
2011 Q3,11.1
2011 Q4,10.7
2012 Q1,11.0
2012 Q2,10.9
2012 Q3,10.5
2012 Q4,10.8
2013 Q1,11.0
2013 Q2,10.0
2013 Q3,10.5
2013 Q4,11.0
2014 Q1,11.0
2014 Q2,11.5
2014 Q3,11.0
2014 Q4,11.1
2015 Q1,10.5
2015 Q2,10.8
2015 Q3,10.4
2015 Q4,10.3
2016 Q1,11.0
2016 Q2,10.8
2016 Q3,11.1
2016 Q4,11.0
2017 Q1,11.0
2017 Q2,10.8
2017 Q3,10.1
2017 Q4,10.5
