Year,Value
1998,12.62
1999,12.07
2000,12.65
2001,12.63
2002,12.34
2003,15.39
2004,14.15
2005,14.71
2006,16.2
2007,14.43
2008,14.68
2009,15.97
2010,15.01
2011,13.82
2012,10.69
2013,9.27
2014,8.66
2015,9.25
2016,9.59
2017,9.34
2018,9.14
